Buyer Full Name,Buyer SSN,Seller Full Name,Seller SSN,Witness Full Name,Witness SSN,Property Address,City,State,Square Feet,Property Category,Closing Date,Sale Amount (USD),Notes
Ronald Davis,,Courtney Mills,462-57-4872,James Lewis,335-44-6212,"0714 Knapp Corner, South Neil, NH 15714",South Neil,NH,4148,Single-Family Home,2021-08-24,946628,Estate sale
Jeffrey Daniels,310-79-8667,Gabrielle Davis,100-46-5636,Juan Tran,096-29-1859,"8815 Steven Grove, Jessicastad, MO 59430",Jessicastad,MO,,Land/Lot,2024-12-07,65950,Short sale
Colton Martinez,869-59-1502,Sandra Miller,,,,"52135 Palmer Springs, East Lindseyport, GU 39670",East Lindseyport,GU,,Land/Lot,2022-03-15,165941,Cash sale
Annette Farmer,641-28-4336,David Johnson,575-42-9996,Elijah Johnson,333-08-4807,"9901 Linda Radial Apt. 735, New Jennyborough, AR 40240",New Jennyborough,AR,5849,Commercial,2023-07-25,1806823,Foreclosure
Maria Harper,022-07-5465,Jeffrey Henderson,479-94-0888,,,"960 Preston Isle, Johnsonview, MO 91008",Johnsonview,MO,9439,Commercial,2021-10-09,2605766,Cash sale
Kevin Hayes,227-79-0711,David Baker,811-81-9664,John Price,,"12432 Kathleen Shoal, Port Michael, VA 10377",Port Michael,VA,3935,Single-Family Home,2023-03-22,823958,1031 exchange
Ellen Morgan,007-24-2348,Colton Martinez,869-59-1502,John Peterson,053-33-7828,"59774 Shaw Manor Apt. 392, Youngbury, ME 33269",Youngbury,ME,1302,Condominium,2022-02-21,386192,Foreclosure
Doris Hall,724-37-7439,Zachary Ferrell,076-69-3493,,,"40415 Douglas Summit Suite 338, Huangfurt, GU 36038",Huangfurt,GU,1146,Condominium,2023-02-04,400511,Estate sale
Francisco Fernandez,142-20-3789,Alex Spencer,603-29-0118,,,"49021 Elizabeth Valley Suite 938, Williamsmouth, NH 08494",Williamsmouth,NH,8491,Commercial,2022-03-01,2394324,
Ray Walsh,,David Bradley,081-11-7963,Robert Evans,680-14-2201,"103 Burns Mission Apt. 798, West Micheal, NH 46344",West Micheal,NH,,Land/Lot,2024-02-25,354483,Estate sale
Keith Jennings,,Kimberly Burgess,,Cindy Hayes,234-53-5554,"5892 Kramer Springs Apt. 017, Summersfort, KY 02635",Summersfort,KY,11439,Commercial,2022-11-10,3349492,Cash sale
Anthony Rodriguez,643-21-6917,Julie Curry,054-45-3674,,,"785 Samantha Creek, Port John, WV 08595",Port John,WV,,Land/Lot,2024-11-18,357158,
Ana Hill,649-75-8985,Bruce Collier,511-92-4782,William Wilson,591-25-4174,"271 Patrick Street Apt. 155, Lake Matthewville, VI 39724",Lake Matthewville,VI,3811,Multi-Family,2022-11-14,671178,Contingent on inspection
Shelly Alexander,,Katherine Chang,,,,"0345 Michelle Isle Suite 156, West Sarahhaven, MO 52932",West Sarahhaven,MO,1136,Condominium,2023-05-20,310453,
Joseph Warren,445-88-2193,Steven Howard,193-22-6610,Elizabeth Brown,047-39-4765,"821 Dawson Turnpike, East Jeffreyberg, IL 05398",East Jeffreyberg,IL,8120,Commercial,2023-12-13,3175637,
Gabrielle Davis,100-46-5636,Melissa Hernandez,831-73-4979,,,"218 Chelsey Expressway, South Kiara, WV 58185",South Kiara,WV,,Land/Lot,2023-03-06,104406,Short sale
Shannon Smith,,Keith Jennings,,,,"03697 Daniel Parks Apt. 893, Rodriguezport, IA 94682",Rodriguezport,IA,3798,Single-Family Home,2023-08-11,999674,Cash sale
Jennifer Jones,,Richard Young,332-03-2855,Susan Hopkins,,"22927 Robert Springs Apt. 794, Nancyberg, PA 99118",Nancyberg,PA,2138,Townhouse,2023-01-09,604975,Short sale
David Baker,811-81-9664,Mary Steele,030-24-4478,,,"12432 Kathleen Shoal, Port Michael, VA 10377",Port Michael,VA,3935,Single-Family Home,2021-07-04,1063160,
Madeline Powell,489-50-0077,Mrs. Amy Hayes,215-98-2763,Brooke Glover,799-12-2121,"300 Jeremy Wells Suite 421, New Jamesstad, AL 50773",New Jamesstad,AL,,Land/Lot,2022-08-12,346643,
Maria Harper,022-07-5465,Kimberly Robinson,604-36-0107,Megan Richards,843-82-6087,"622 Patel Forks Suite 160, Keithville, AL 57677",Keithville,AL,1497,Condominium,2024-11-25,458236,
Courtney Mills,462-57-4872,Ellen Morgan,007-24-2348,Paige Carlson,103-25-4854,"218 Chelsey Expressway, South Kiara, WV 58185",South Kiara,WV,,Land/Lot,2024-02-02,311150,Estate sale
Brandi Bailey,071-32-6055,Gina Beard,,,,"753 Edwards Cape, Williamfort, NH 74232",Williamfort,NH,8619,Commercial,2024-12-12,2304827,Cash sale
Brett Schultz,894-13-7270,Richard Baker,639-89-6513,Joseph Ramos,285-24-9591,"12172 Osborn Valleys Suite 518, Lewisport, UT 71564",Lewisport,UT,1717,Condominium,2024-10-14,502212,1031 exchange
Andrew Shaw MD,,Shannon Smith,,,,"24241 Wright Landing Apt. 064, Port Ericmouth, AL 95657",Port Ericmouth,AL,,Land/Lot,2021-04-15,358991,Contingent on inspection
Andrea Martin,,Arthur Colon,,Heather Foster,601-26-8483,"0863 Clarke Light Suite 991, Port Erikachester, NC 56270",Port Erikachester,NC,4804,Commercial,2021-08-26,1109146,
Jordan Frazier,,Aaron Hayes,,,,"9930 Jackson Roads Suite 230, South Brandytown, PA 75548",South Brandytown,PA,,Land/Lot,2021-11-28,229167,
Angel Perry,645-74-3186,Renee Blair,,,,"0714 Knapp Corner, South Neil, NH 15714",South Neil,NH,4148,Single-Family Home,2022-08-28,982929,
Kimberly Gibson,330-25-3913,Cynthia Wilson,584-32-9486,,,"4479 Jackson Mills, New Kelly, CT 46578",New Kelly,CT,8507,Commercial,2021-01-11,2714310,Cash sale
Misty Whitney,867-72-5993,Thomas Ellis,272-18-4041,,,"25286 Carlson Ports Suite 627, Lake Dennisville, IA 83797",Lake Dennisville,IA,992,Condominium,2024-12-07,371545,
Paul Jones,,Carmen Rose,622-55-3471,,,"537 Ford Walk, East Shannonmouth, MT 16218",East Shannonmouth,MT,3697,Multi-Family,2023-07-08,772736,
Jacob Tran,,Nicholas Martin,389-35-9126,,,"786 Frye Mount Suite 854, Lake Devinborough, OH 80464",Lake Devinborough,OH,,Land/Lot,2022-01-30,165238,
Lisa Allen,598-19-3805,Jason Morris,,,,"60422 Dustin Islands, Ashleyhaven, MH 32948",Ashleyhaven,MH,1506,Commercial,2021-10-14,456636,
Robert Stevens,313-30-3653,Cameron Cunningham,,,,"2621 Matthew Ridges, Andrewview, CT 63774",Andrewview,CT,10657,Commercial,2023-09-19,2737707,Short sale
Gabrielle Davis,100-46-5636,Anthony Carter,,Pamela Romero,,"5655 Nelson Club Apt. 291, Batesberg, IA 20870",Batesberg,IA,2693,Commercial,2023-09-08,718515,Cash sale
Elizabeth Sutton,825-16-9273,Corey Murphy,886-09-4574,,,"403 Joyce Centers Apt. 343, West Russellport, TX 18488",West Russellport,TX,1483,Townhouse,2023-04-20,318683,
Desiree Tyler,425-44-8319,Dana Marshall,625-86-6210,,,"757 Samuel Square, West Larry, NH 59804",West Larry,NH,1938,Townhouse,2022-07-27,582431,Cash sale
Andrew Diaz,,Christian Lewis,,,,"33206 Vanessa Mews, North Stacy, NV 26966",North Stacy,NV,1572,Condominium,2022-10-28,608784,Estate sale
Joshua Roberts,069-33-1609,Tara Gamble,,Kevin Lynn,,"135 Hayes Ridges Suite 929, Davidbury, CT 74800",Davidbury,CT,,Land/Lot,2022-02-08,256708,
Caitlin Henderson,285-20-3528,Shannon Mcclure,798-55-3586,,,"0345 Michelle Isle Suite 156, West Sarahhaven, MO 52932",West Sarahhaven,MO,1136,Condominium,2022-05-10,400768,
David Alvarez,,Valerie Williams,367-27-4089,Elijah Johnson,333-08-4807,"52135 Palmer Springs, East Lindseyport, GU 39670",East Lindseyport,GU,,Land/Lot,2022-10-25,190048,
Adam Jones,708-20-8939,Andrew Diaz,,,,"218 Chelsey Expressway, South Kiara, WV 58185",South Kiara,WV,,Land/Lot,2024-05-18,227581,Below market
Rachel Carlson,,Janet Ross,152-84-0091,Vanessa Patel,129-17-7788,"6465 Sarah Flats, Kellyfort, OK 78125",Kellyfort,OK,2286,Multi-Family,2024-05-24,428042,Foreclosure
Jordan Frazier,,Rebecca Rodriguez,888-04-2160,,,"96520 Bright Green, Jacobhaven, WV 55363",Jacobhaven,WV,1073,Condominium,2023-02-05,338064,Foreclosure
Olivia Harris,563-17-4720,Gabrielle Davis,100-46-5636,,,"043 Julie Hill Apt. 376, West Deanna, IA 15278",West Deanna,IA,5251,Multi-Family,2023-10-01,843304,Foreclosure
Thomas Ellis,272-18-4041,David Grant,427-78-9767,,,"8516 Jack Dam Suite 530, East Cheryl, SC 34682",East Cheryl,SC,3432,Multi-Family,2021-03-31,720582,Contingent on inspection
Nicholas Martin,389-35-9126,Ashley Lee,,Gary Owens,064-27-6884,"35733 Eric Hill Apt. 888, Romerotown, MN 05448",Romerotown,MN,1157,Condominium,2024-08-06,415486,1031 exchange
Kevin Hayes,227-79-0711,Brandi Bailey,071-32-6055,Joseph Coleman,,"784 David Court Suite 558, West Angela, CA 48421",West Angela,CA,932,Condominium,2023-10-18,353366,Estate sale
Doris Hall,724-37-7439,David Bradley,081-11-7963,Randy Shah,021-98-9433,"3875 Bruce Ville, Priceton, OR 86695",Priceton,OR,4842,Multi-Family,2021-07-23,1071178,Cash sale
Sabrina Austin,659-72-0431,Derek Anderson,661-39-7492,,,"960 Preston Isle, Johnsonview, MO 91008",Johnsonview,MO,9439,Commercial,2021-08-22,2348993,Contingent on inspection
Cynthia Wilson,584-32-9486,Carol Lawson,766-92-1877,Courtney Mills,462-57-4872,"584 Mario Squares, Port Jamie, IL 38857",Port Jamie,IL,1731,Townhouse,2024-03-17,429973,
Jonathan Peterson,870-54-8032,Paul Jones,,,,"995 Hernandez Cliff Suite 744, Port Courtney, NH 78019",Port Courtney,NH,6405,Commercial,2022-01-17,1747928,Short sale
Arthur West,,Mary Nguyen,714-38-9084,,,"182 Nguyen Mount, Lake Jasonview, WV 15437",Lake Jasonview,WV,4855,Multi-Family,2021-12-13,791738,
Natalie Ortiz,261-79-3210,Timothy Long,469-25-5537,Michaela Williams,169-64-2302,"9827 Alyssa Causeway Suite 978, Port Robertshire, DE 23727",Port Robertshire,DE,2586,Multi-Family,2024-01-18,613664,
Thomas Ellis,272-18-4041,Rebecca Rodriguez,888-04-2160,Amber Obrien,509-37-3771,"7584 Jessica Common, Klinefurt, MA 56941",Klinefurt,MA,1504,Condominium,2022-10-07,443375,Short sale
Angela Patterson,888-60-2978,Stephanie Miller,,,,"12432 Kathleen Shoal, Port Michael, VA 10377",Port Michael,VA,3935,Single-Family Home,2022-09-04,896173,Estate sale
Elizabeth Ortiz,,Paul Carroll,296-57-2038,,,"8815 Steven Grove, Jessicastad, MO 59430",Jessicastad,MO,,Land/Lot,2022-05-23,205210,
Vanessa Patel,129-17-7788,Corey Murphy,886-09-4574,,,"0165 Stephanie Divide Suite 021, Williamsstad, RI 31433",Williamsstad,RI,1658,Commercial,2021-06-25,481626,Estate sale
Andrew Clark,811-47-6359,Mario Skinner,,Michael Calhoun,,"622 Patel Forks Suite 160, Keithville, AL 57677",Keithville,AL,1497,Condominium,2024-08-10,567904,
Parker Hill,,Shelly Alexander,,John Hancock,,"5187 Miguel Highway Suite 937, Jonesmouth, VI 48771",Jonesmouth,VI,1360,Townhouse,2023-09-27,333511,Foreclosure
Mario Skinner,,Kimberly Gibson,330-25-3913,,,"7679 Perry Forge, East Ericton, TX 99452",East Ericton,TX,2200,Single-Family Home,2023-05-26,428364,1031 exchange
Andrew Shaw MD,,Cynthia Martin,820-23-6756,,,"87431 Martin Mount Suite 205, Justinside, NC 39170",Justinside,NC,1008,Condominium,2024-05-18,329244,
David Baker,811-81-9664,Maria Lynch,,,,"072 Carolyn Branch, West Denise, NY 29830",West Denise,NY,1587,Townhouse,2023-08-30,379377,1031 exchange
Courtney Mills,462-57-4872,Jordan Frazier,,,,"87431 Martin Mount Suite 205, Justinside, NC 39170",Justinside,NC,1008,Condominium,2022-11-07,294358,
John Hancock,,Jason Morris,,Joshua Price,380-86-8851,"82422 Donovan Fork, Port Tammy, NE 45854",Port Tammy,NE,685,Condominium,2021-03-29,260534,Estate sale
Benjamin Beck,339-80-5144,Sandra Sanchez,,Arthur Colon,,"56915 Morris Estate Suite 752, Port Daniel, NC 93192",Port Daniel,NC,9111,Commercial,2021-12-24,2536490,Foreclosure
Jason Morris,,Janet Weeks,521-96-2237,Tyler Holmes,052-72-4083,"5187 Miguel Highway Suite 937, Jonesmouth, VI 48771",Jonesmouth,VI,1360,Townhouse,2022-07-09,330700,Contingent on inspection
Shannon Jones,,Kimberly Gibson,330-25-3913,,,"03697 Daniel Parks Apt. 893, Rodriguezport, IA 94682",Rodriguezport,IA,3798,Single-Family Home,2023-12-14,892071,Short sale
Megan Richards,843-82-6087,Dean Santiago,,Carla Collins,593-04-5112,"0148 Harry Vista Suite 039, New Samanthabury, IL 19400",New Samanthabury,IL,,Land/Lot,2022-05-02,217889,Estate sale
Joseph Ramos,285-24-9591,David Scott,010-60-4713,,,"103 Burns Mission Apt. 798, West Micheal, NH 46344",West Micheal,NH,,Land/Lot,2024-07-23,400703,
Janet Weeks,521-96-2237,Patrick Moore,425-84-1623,,,"08484 Wayne Square Suite 211, Hopkinstown, AL 69233",Hopkinstown,AL,2777,Single-Family Home,2024-08-02,758794,
Nicholas Sims,745-10-0306,Julie Howard,313-63-9039,,,"5803 Katherine Dam, Dennishaven, NY 58988",Dennishaven,NY,3877,Single-Family Home,2022-02-12,867192,
Dylan Miller,,Michael Mitchell,233-96-1481,Lisa Allen,598-19-3805,"52135 Palmer Springs, East Lindseyport, GU 39670",East Lindseyport,GU,,Land/Lot,2021-01-13,244422,Estate sale
Jeffrey Meyer,826-69-3229,Maria Kerr,,Jamie Stewart,,"12172 Osborn Valleys Suite 518, Lewisport, UT 71564",Lewisport,UT,1717,Condominium,2024-03-31,457896,Estate sale
Rodney Johnson,161-69-3603,Michael Obrien,289-98-7171,James Salinas,559-38-2361,"00996 Kevin Summit, Ericastad, AL 97681",Ericastad,AL,1285,Townhouse,2022-01-20,302414,
Joyce Bowen,420-84-2530,John Hancock,,,,"2621 Matthew Ridges, Andrewview, CT 63774",Andrewview,CT,10657,Commercial,2022-01-26,2412316,1031 exchange
Sandra Miller,,Lisa Barnes,598-73-8566,,,"7679 Perry Forge, East Ericton, TX 99452",East Ericton,TX,2200,Single-Family Home,2021-04-09,486117,
Sarah Phelps,,Brett Schultz,894-13-7270,,,"80003 Thomas Lights, Ericville, MH 20172",Ericville,MH,2162,Single-Family Home,2023-02-13,475762,Short sale
Dylan Miller,,Lisa Allen,598-19-3805,,,"5655 Nelson Club Apt. 291, Batesberg, IA 20870",Batesberg,IA,2693,Commercial,2021-03-31,773186,Cash sale
Juan Smith,258-26-7260,Phillip Clark,222-30-5384,Michael Calhoun,,"7584 Jessica Common, Klinefurt, MA 56941",Klinefurt,MA,1504,Condominium,2023-10-18,479680,
Erik Scott,157-88-7771,Natasha Wells,266-97-4051,,,"0165 Stephanie Divide Suite 021, Williamsstad, RI 31433",Williamsstad,RI,1658,Commercial,2021-02-22,402103,
Haley Hartman,,Erik Williams,,,,"86688 Paul Glens Apt. 517, Meredithberg, AS 49138",Meredithberg,AS,1265,Townhouse,2024-09-07,299318,
Kimberly Burgess,,Andrew Diaz,,Valerie Williams,367-27-4089,"656 Alex Green, Lake Elizabeth, GA 29599",Lake Elizabeth,GA,2258,Townhouse,2023-08-29,597090,Contingent on inspection
Taylor Coleman,,Lisa Crosby,287-05-6071,,,"953 Walter Shore Apt. 644, East Williamport, IN 08490",East Williamport,IN,6925,Commercial,2021-04-29,1706499,
Billy Mitchell,,Joyce Bowen,420-84-2530,,,"6471 King Gateway Suite 993, Trevorland, GA 60513",Trevorland,GA,,Land/Lot,2023-04-28,83968,
Misty Whitney,867-72-5993,Valerie Gray,566-38-5926,,,"953 Walter Shore Apt. 644, East Williamport, IN 08490",East Williamport,IN,6925,Commercial,2022-02-27,1578887,Foreclosure
Parker Cain,570-08-9609,Elizabeth Sutton,825-16-9273,,,"37129 April Mills, South Diana, VT 01718",South Diana,VT,1852,Townhouse,2022-09-02,477546,
Edward Novak,594-95-8884,Heather Lane,218-20-7901,Joyce Bowen,420-84-2530,"825 Jeffrey Fork Suite 655, West Connor, DC 34653",West Connor,DC,1038,Condominium,2023-04-16,394380,
Krista Gibson,323-33-5297,Allison Hill,229-18-1680,,,"5171 Jason Street Suite 962, West Nancy, AZ 81261",West Nancy,AZ,1765,Condominium,2022-09-22,487827,
Dustin Jordan,,Frederick Tate,058-30-0526,,,"37129 April Mills, South Diana, VT 01718",South Diana,VT,1852,Townhouse,2023-07-16,496512,
Rebecca Rodriguez,888-04-2160,Joyce Bowen,420-84-2530,,,"01533 Terry Stravenue Suite 443, South Sherriburgh, PA 13072",South Sherriburgh,PA,6698,Commercial,2023-05-09,1889394,Estate sale
Melissa Hernandez,831-73-4979,Elizabeth Ortiz,,,,"7679 Perry Forge, East Ericton, TX 99452",East Ericton,TX,2200,Single-Family Home,2024-06-13,479705,
Elizabeth Kelley,,Wanda Torres,636-08-9989,Brandi Bailey,071-32-6055,"825 Jeffrey Fork Suite 655, West Connor, DC 34653",West Connor,DC,1038,Condominium,2024-04-23,284421,
Jennifer Blair,,Natasha Wells,266-97-4051,,,"0148 Harry Vista Suite 039, New Samanthabury, IL 19400",New Samanthabury,IL,,Land/Lot,2022-10-20,209639,
Andrew Diaz,,Allen Robinson,,,,"46774 Darlene Loaf Apt. 565, Lake Kelly, CO 24956",Lake Kelly,CO,,Land/Lot,2021-11-20,273336,Foreclosure
Richard Rodriguez,894-05-7712,Dana Marshall,625-86-6210,,,"7569 Kevin Rapids Apt. 752, East Kevinfurt, MA 52699",East Kevinfurt,MA,1345,Condominium,2021-05-18,368921,Short sale
Sabrina Austin,659-72-0431,Maria Henry,812-03-1525,,,"6465 Sarah Flats, Kellyfort, OK 78125",Kellyfort,OK,2286,Multi-Family,2022-08-04,405349,1031 exchange
Brooke Alexander,354-76-4902,Joseph Ramos,285-24-9591,Destiny Strickland,497-81-3920,"7569 Kevin Rapids Apt. 752, East Kevinfurt, MA 52699",East Kevinfurt,MA,1345,Condominium,2023-07-17,399764,
Michael Mitchell,233-96-1481,Eric Powell,,,,"941 Wendy Flat, East Madison, MN 85171",East Madison,MN,,Land/Lot,2024-01-14,78821,
Kevin Holland,421-03-3993,Christine Lopez,371-78-1939,,,"9772 Maria Rapid, Lake Jessicaport, CO 19206",Lake Jessicaport,CO,5402,Multi-Family,2022-06-11,872298,
Morgan Davis,,Sabrina Austin,659-72-0431,,,"0148 Harry Vista Suite 039, New Samanthabury, IL 19400",New Samanthabury,IL,,Land/Lot,2024-09-18,269952,Short sale
James Howard,030-88-2141,Mr. Stephen Alexander,065-34-5149,Thomas Webb,583-87-7179,"588 Ryan Stream, Lake Mirandahaven, WI 33082",Lake Mirandahaven,WI,1761,Townhouse,2022-12-27,692543,
Angela Patterson,888-60-2978,Alex Spencer,603-29-0118,Dylan Miller,,"6291 Hansen Row Suite 281, Christopherberg, PW 85176",Christopherberg,PW,3466,Single-Family Home,2021-03-05,937781,1031 exchange
Heather Castro,896-53-2533,Bruce Collier,511-92-4782,,,"46618 Ashley Extension Suite 224, New Carlymouth, VI 39970",New Carlymouth,VI,,Land/Lot,2022-12-04,298725,Short sale
Heather Fields,,Arthur Colon,,,,"59325 Samantha Vista Suite 002, North Brianbury, AK 77389",North Brianbury,AK,,Land/Lot,2022-11-03,105475,
Shannon Jones,,Pamela Romero,,Ashley Lee,,"784 David Court Suite 558, West Angela, CA 48421",West Angela,CA,932,Condominium,2021-11-19,332770,Cash sale
Maria Lynch,,Katherine Chang,,,,"05411 Ford Plaza Apt. 793, West Williamport, NH 42644",West Williamport,NH,,Land/Lot,2022-01-05,203272,Cash sale
Adam Jones,708-20-8939,Bruce Collier,511-92-4782,,,"1778 Anderson Village, Hammondshire, CA 72761",Hammondshire,CA,1480,Condominium,2022-01-01,572187,
Rebecca Rodriguez,888-04-2160,Christina Brooks,166-70-8690,,,"46618 Ashley Extension Suite 224, New Carlymouth, VI 39970",New Carlymouth,VI,,Land/Lot,2024-09-26,448861,
Ms. Susan Vargas,,Cameron Cunningham,,,,"8580 Payne Manors, Dunnville, OK 13924",Dunnville,OK,,Land/Lot,2023-03-13,302778,1031 exchange
Jennifer Blair,,Allison Hill,229-18-1680,Mary Marshall,,"79796 Stephens Turnpike Suite 891, Donnachester, WY 14836",Donnachester,WY,2176,Townhouse,2024-06-11,506238,Contingent on inspection
Michael Johnson,850-85-6485,William Richardson,661-46-0993,,,"60422 Dustin Islands, Ashleyhaven, MH 32948",Ashleyhaven,MH,1506,Commercial,2022-11-26,485334,Foreclosure
Dustin Jordan,,Kevin Cox,142-66-8086,Heather Foster,601-26-8483,"685 Campos Dam, Hickmanport, GA 90850",Hickmanport,GA,2006,Multi-Family,2023-01-08,422694,
Michael Cross,803-72-7974,Ms. Susan Vargas,,,,"7679 Perry Forge, East Ericton, TX 99452",East Ericton,TX,2200,Single-Family Home,2022-12-01,237699,Below market
Michelle Wagner,851-71-7306,Keith Jennings,,,,"8580 Payne Manors, Dunnville, OK 13924",Dunnville,OK,,Land/Lot,2024-11-06,390457,
Mrs. Amy Hayes,215-98-2763,Brooke Glover,799-12-2121,,,"300 Jeremy Wells Suite 421, New Jamesstad, AL 50773",New Jamesstad,AL,,Land/Lot,2022-07-12,216652,
Barbara Anderson,476-86-8703,Courtney Mills,462-57-4872,Michelle Harris,650-34-8281,"1825 Gregory Plain Suite 823, Brooksfurt, NV 00956",Brooksfurt,NV,2213,Townhouse,2023-01-10,509972,Cash sale
Alex Hernandez,,Desiree Smith,196-11-3955,,,"103 Burns Mission Apt. 798, West Micheal, NH 46344",West Micheal,NH,,Land/Lot,2024-09-16,163714,Short sale
Jason Peterson,,Ana Hill,649-75-8985,Michael Calhoun,,"2099 Deborah Parks Suite 870, Jasonburgh, KY 11998",Jasonburgh,KY,4024,Multi-Family,2021-12-05,637362,
Jason Bentley,694-96-2852,Dustin Jordan,,,,"722 Jennifer Mount Apt. 430, Lisaburgh, MP 26645",Lisaburgh,MP,2566,Single-Family Home,2024-06-02,676484,
Mr. Stephen Alexander,065-34-5149,Thomas Webb,583-87-7179,James Howard,030-88-2141,"588 Ryan Stream, Lake Mirandahaven, WI 33082",Lake Mirandahaven,WI,1761,Townhouse,2023-01-14,820792,
Jordan Frazier,,Carla Collins,593-04-5112,,,"49818 Brittany Prairie Apt. 299, Meghanview, ID 44753",Meghanview,ID,1646,Townhouse,2023-08-28,459967,
Debbie Carpenter,272-05-1777,Dustin Jordan,,,,"25286 Carlson Ports Suite 627, Lake Dennisville, IA 83797",Lake Dennisville,IA,992,Condominium,2023-11-08,288975,
Diana Washington,553-17-9356,Shannon Smith,,David Bradley,081-11-7963,"5269 Diaz Springs, South Danielle, CA 23146",South Danielle,CA,,Land/Lot,2022-12-07,427203,
Anthony Carter,,Rebecca Rodriguez,888-04-2160,,,"0614 Gonzalez Burg, South Ashleyfort, FL 27626",South Ashleyfort,FL,4509,Multi-Family,2023-12-10,850224,Short sale
Lindsey Johnson,235-87-9425,Carol Lawson,766-92-1877,,,"2655 Christopher Inlet, Lake Charles, KY 58793",Lake Charles,KY,,Land/Lot,2021-10-21,406141,Estate sale
Steven Howard,193-22-6610,Elizabeth Brown,047-39-4765,Joseph Warren,445-88-2193,"821 Dawson Turnpike, East Jeffreyberg, IL 05398",East Jeffreyberg,IL,8120,Commercial,2023-12-23,3763718,
Katherine Browning,076-11-5278,Joseph Coleman,,,,"7240 Kenneth Rapids, East Robertburgh, PW 14565",East Robertburgh,PW,3127,Single-Family Home,2021-08-19,675745,Cash sale
Thomas Schmidt,,Steve Newton,160-35-4617,Richard Rodriguez,894-05-7712,"021 Bruce Rue, Grayside, NJ 43921",Grayside,NJ,990,Townhouse,2021-06-21,285923,Estate sale
Linda Burns,115-47-5039,Shelly Alexander,,,,"0148 Harry Vista Suite 039, New Samanthabury, IL 19400",New Samanthabury,IL,,Land/Lot,2021-06-07,397990,
Rachael Pearson,773-04-4052,Heather Fields,,,,"83301 Rivera Mountains, Derrickshire, IA 13679",Derrickshire,IA,821,Condominium,2022-01-17,281536,
Jeffrey Sanchez,,Jennifer Blair,,Heather Foster,601-26-8483,"043 Julie Hill Apt. 376, West Deanna, IA 15278",West Deanna,IA,5251,Multi-Family,2024-08-21,1138421,
Melissa Hernandez,831-73-4979,John Allen,,,,"4422 Stacy Ports, Jeffreyshire, GU 51828",Jeffreyshire,GU,3483,Single-Family Home,2023-02-05,352556,Below market
Christopher Smith,547-17-4495,Wanda Torres,636-08-9989,,,"12172 Osborn Valleys Suite 518, Lewisport, UT 71564",Lewisport,UT,1717,Condominium,2023-09-14,466020,Contingent on inspection
Kevin Hayes,227-79-0711,Thomas Schmidt,,Ms. Susan Vargas,,"8815 Steven Grove, Jessicastad, MO 59430",Jessicastad,MO,,Land/Lot,2021-09-06,66268,
Kristina Santiago,421-46-6930,Robert Evans,680-14-2201,,,"05411 Ford Plaza Apt. 793, West Williamport, NH 42644",West Williamport,NH,,Land/Lot,2024-07-14,379224,
Cindy Hayes,234-53-5554,Brian Bruce,377-15-4565,Sandra Sanchez,,"80003 Thomas Lights, Ericville, MH 20172",Ericville,MH,2162,Single-Family Home,2021-02-05,421997,Cash sale
Benjamin Beck,339-80-5144,Renee Bruce,,,,"8815 Steven Grove, Jessicastad, MO 59430",Jessicastad,MO,,Land/Lot,2023-04-19,50858,Below market
Adam Jones,708-20-8939,Michael White,180-11-9986,,,"56856 Hernandez Lane Apt. 873, Lake Erika, OH 30037",Lake Erika,OH,1672,Single-Family Home,2022-06-07,342582,Foreclosure
Andrew Diaz,,Misty Whitney,867-72-5993,,,"8516 Jack Dam Suite 530, East Cheryl, SC 34682",East Cheryl,SC,3432,Multi-Family,2024-08-09,743697,Short sale
Rebecca Ramsey,861-60-2092,Michael White,180-11-9986,,,"182 Nguyen Mount, Lake Jasonview, WV 15437",Lake Jasonview,WV,4855,Multi-Family,2021-12-22,804372,Contingent on inspection
Tyler Reid,849-59-2507,Maria Lynch,,,,"4479 Jackson Mills, New Kelly, CT 46578",New Kelly,CT,8507,Commercial,2022-04-14,2731076,1031 exchange
Madeline Powell,489-50-0077,Annette Farmer,641-28-4336,,,"39431 Emily Port, Jasonhaven, FL 07629",Jasonhaven,FL,1426,Condominium,2024-01-27,267552,Below market
Heather Lane,218-20-7901,Belinda Mccullough,,,,"0345 Michelle Isle Suite 156, West Sarahhaven, MO 52932",West Sarahhaven,MO,1136,Condominium,2024-03-03,303683,Cash sale
Randy Shah,021-98-9433,Andrew Diaz,,Tracy Torres,505-15-1593,"93638 Rowe Light Suite 854, East Sharonville, WA 34784",East Sharonville,WA,1644,Single-Family Home,2022-08-16,354898,
Corey Murphy,886-09-4574,Sabrina Austin,659-72-0431,,,"5905 Mark Point Suite 449, West Nathan, LA 20210",West Nathan,LA,1136,Townhouse,2021-09-16,298460,
Jeffrey Henderson,479-94-0888,Derek Anderson,661-39-7492,Robert Stevens,313-30-3653,"5060 Shaw Freeway, Port Samuel, PW 51116",Port Samuel,PW,9504,Commercial,2024-01-27,2992813,
Misty Whitney,867-72-5993,Angela Patterson,888-60-2978,,,"6465 Sarah Flats, Kellyfort, OK 78125",Kellyfort,OK,2286,Multi-Family,2022-05-24,418270,Cash sale
Mark Perez,033-43-1161,Dr. Ashley James MD,,,,"6291 Hansen Row Suite 281, Christopherberg, PW 85176",Christopherberg,PW,3466,Single-Family Home,2023-06-13,653858,Contingent on inspection
